player,age,position,league,minutes,goals,assists,starts,market_value_m
Erling Haaland,25,공격수,프리미어리그,2700,29,5,31,170
Phil Foden,26,미드필더,프리미어리그,2510,14,9,29,110
Rodri,30,미드필더,프리미어리그,2900,8,7,32,115
Kevin De Bruyne,35,미드필더,프리미어리그,1850,7,13,21,35
Bernardo Silva,31,미드필더,프리미어리그,2600,6,10,30,70
Ruben Dias,29,수비수,프리미어리그,2850,1,1,32,70
Josko Gvardiol,24,수비수,프리미어리그,2450,4,5,28,75
Jeremy Doku,24,공격수,프리미어리그,1800,6,9,20,65
Bukayo Saka,24,공격수,프리미어리그,2760,16,12,32,140
Martin Odegaard,27,미드필더,프리미어리그,2700,8,10,31,78
Declan Rice,27,미드필더,프리미어리그,3100,6,7,35,85
William Saliba,25,수비수,프리미어리그,3150,2,1,35,75
Gabriel Magalhaes,28,수비수,프리미어리그,3050,5,1,34,65
Kai Havertz,27,공격수,프리미어리그,2500,12,6,29,65
Gabriel Martinelli,25,공격수,프리미어리그,2200,8,6,25,70
Leandro Trossard,31,공격수,프리미어리그,1900,10,5,21,38
Mohamed Salah,34,공격수,프리미어리그,2850,22,12,32,55
Luis Diaz,29,공격수,프리미어리그,2400,11,7,28,75
Darwin Nunez,27,공격수,프리미어리그,2100,13,6,23,70
Dominik Szoboszlai,25,미드필더,프리미어리그,2600,7,8,30,75
Alexis Mac Allister,27,미드필더,프리미어리그,2850,6,7,32,80
Virgil van Dijk,35,수비수,프리미어리그,3050,3,1,34,30
Trent Alexander-Arnold,27,수비수,프리미어리그,2600,4,8,30,75
Alisson,34,골키퍼,프리미어리그,2700,0,0,30,28
Cole Palmer,24,미드필더,프리미어리그,3000,20,11,34,120
Enzo Fernandez,25,미드필더,프리미어리그,2800,6,8,32,75
Moises Caicedo,24,미드필더,프리미어리그,2950,2,4,34,90
Nicolas Jackson,25,공격수,프리미어리그,2300,14,5,27,55
Reece James,26,수비수,프리미어리그,1600,2,4,18,40
Son Heung-min,33,공격수,프리미어리그,2350,14,8,27,35
James Maddison,29,미드필더,프리미어리그,2100,8,9,24,45
Cristian Romero,28,수비수,프리미어리그,2600,3,1,30,60
Hwang Hee-chan,30,공격수,프리미어리그,1850,10,3,21,22
Bruno Fernandes,31,미드필더,프리미어리그,3050,12,10,35,70
Marcus Rashford,28,공격수,프리미어리그,2200,9,5,25,55
Kobbie Mainoo,21,미드필더,프리미어리그,2100,4,4,24,55
Alexander Isak,26,공격수,프리미어리그,2650,23,5,30,100
Bruno Guimaraes,28,미드필더,프리미어리그,3100,7,8,35,85
Sandro Tonali,26,미드필더,프리미어리그,2300,4,5,26,55
Ollie Watkins,30,공격수,프리미어리그,3000,19,11,34,65
Morgan Rogers,24,미드필더,프리미어리그,2400,9,8,28,55
Emiliano Martinez,33,골키퍼,프리미어리그,3150,0,0,35,32
Kylian Mbappe,27,공격수,라리가,2850,31,8,32,180
Vinicius Junior,25,공격수,라리가,2480,18,11,29,150
Jude Bellingham,22,미드필더,라리가,2920,13,9,33,160
Rodrygo,25,공격수,라리가,2300,12,7,27,95
Federico Valverde,27,미드필더,라리가,2950,7,6,34,80
Aurelien Tchouameni,26,미드필더,라리가,2600,3,4,30,75
Eduardo Camavinga,23,미드필더,라리가,2200,2,5,25,70
Antonio Rudiger,33,수비수,라리가,2800,2,1,32,28
Thibaut Courtois,34,골키퍼,라리가,2700,0,0,30,30
Lamine Yamal,18,공격수,라리가,2200,8,10,25,100
Pedri,23,미드필더,라리가,2100,5,6,24,75
Gavi,21,미드필더,라리가,1900,4,5,22,80
Frenkie de Jong,29,미드필더,라리가,2300,3,6,26,60
Raphinha,29,공격수,라리가,2600,15,11,30,70
Robert Lewandowski,37,공격수,라리가,2500,24,4,29,18
Jules Kounde,27,수비수,라리가,3000,2,5,34,55
Ronald Araujo,27,수비수,라리가,2200,1,2,25,50
Nico Williams,23,공격수,라리가,2500,9,11,29,70
Oihan Sancet,25,미드필더,라리가,2400,10,5,28,35
Takefusa Kubo,25,공격수,라리가,2400,8,7,28,50
Martin Zubimendi,27,미드필더,라리가,3000,4,3,34,60
Mikel Oyarzabal,29,공격수,라리가,2300,12,5,27,38
Antoine Griezmann,35,공격수,라리가,2800,16,8,32,25
Julian Alvarez,26,공격수,라리가,2600,18,7,30,90
Pablo Barrios,23,미드필더,라리가,2100,4,5,24,45
Jan Oblak,33,골키퍼,라리가,3150,0,0,35,28
Isco,34,미드필더,라리가,2300,8,7,27,18
Lautaro Martinez,28,공격수,세리에 A,2750,24,4,32,95
Marcus Thuram,28,공격수,세리에 A,2450,13,8,28,65
Nicolo Barella,29,미드필더,세리에 A,2850,6,8,32,75
Hakan Calhanoglu,32,미드필더,세리에 A,2700,9,7,31,45
Alessandro Bastoni,27,수비수,세리에 A,2750,2,4,31,65
Federico Dimarco,28,수비수,세리에 A,2600,5,8,30,50
Yann Sommer,37,골키퍼,세리에 A,3150,0,0,35,8
Rafael Leao,27,공격수,세리에 A,2550,11,10,30,85
Christian Pulisic,27,공격수,세리에 A,2450,13,8,28,50
Theo Hernandez,28,수비수,세리에 A,2850,5,6,32,55
Mike Maignan,31,골키퍼,세리에 A,3000,0,0,34,38
Victor Osimhen,27,공격수,세리에 A,2450,22,3,28,90
Khvicha Kvaratskhelia,25,공격수,세리에 A,2550,11,9,30,80
